pet_name,pet_gender,owner_name,vet_name,feeding_schedule,pet_type,breedID,color,pet_id
Dorian,female,Dorian Rooney,Dorian Jebb,every 4 hours,lab born,073ce5d1-a706-4de8-8bfd-0e1435c234c1,Mauv,d3236e46-b8dd-42f6-a1ee-e2e01cb898dd
Happy,female,Happy Scanlin,Happy Maas,twice a day,found,07f6814b-98d5-4afc-a68b-5a28c407d942,Crimson,ec57c831-cf9f-4dc6-af38-89798d154cdd
Allen,female,Allen Robbert,Allen Franceschielli,once a day,lab born,093aa556-de7f-4302-bd42-633fba062966,Indigo,3b687cc1-522e-4305-a943-048530301da6
Massimiliano,male,,,every 4 hours,,094faba8-08d1-4784-9c5d-0128971e74fe,Puce,644bb74b-86f7-486c-af5d-fdf2a6a1f881
Marlo,female,Marlo Dady,Marlo Skevington,once a day,found,094fcfcb-cf0d-4aa3-8b0d-9e1869caba6e,Orange,8468dcda-3db9-4959-8edc-d6708f777f4e
Catlee,male,,Catlee Lowry,twice a day,found,097041f2-dc74-4378-91de-30ac3c81258a,Crimson,f873a928-2d7e-4189-a2eb-c5646b47a295
Jsandye,female,Jsandye Glassopp,Jsandye Bapty,twice a day,lab grown,09b1651d-61db-48ba-b4ee-299f5d1c1e8d,Blue,9ae9a985-247e-4be7-83c7-0472f03da625
Evelyn,male,Evelyn Crilly,Evelyn Goalley,once a day,lab born,0a2bcda9-b924-491b-9783-431d78598e8f,Maroon,8af34963-bddd-41a3-b6f6-fd6a5bdb6334
Quent,female,Quent Rockhall,Quent Pancost,every 4 hours,found,0a352e05-89ac-4a7e-b45c-1343ad405958,Aquamarine,a24781d3-78a2-47fd-9de0-fce14e8001ca
Melany,female,Melany Kaspar,Melany Bratchell,twice a day,stolen,0a388cc2-6a0b-46b8-a603-40938c8a7966,Maroon,8838716f-03f3-48c0-89e1-d6cd4372bac5
Olympie,male,,Olympie Kenrick,every 4 hours,lab grown,0a640730-4e0c-4c98-b80a-999f2b75c237,Blue,50b88b39-b0f0-4d8e-9ce4-45ee6ce10b08
Idell,female,Idell Tisor,Idell Ellam,twice a day,stolen,0a6e824b-0684-4dc5-aed4-7e737335d271,Turquoise,7f28a64b-42d1-4776-ba2b-395e54defb5f
Frazer,female,Frazer Knowlman,Frazer Scanes,every 4 hours,,0ac37889-5301-42cf-8d84-5ea09ea95569,Orange,899bc043-c810-4de8-bf2f-2e1a0b1ccb5e
Veronika,male,Veronika Perche,Veronika Croan,once a day,lab born,0adb85c5-53be-409b-8a09-9ac5a2e62f0b,Crimson,f0dc040b-4ea1-436f-ab2a-885ebb060232
Leland,male,Leland O'Clery,,every 4 hours,lab grown,cb3a9da4-07b0-4969-9810-1505108d79d9,Pink,6ef5a5e0-4222-4e3d-8c24-023ff8ce02b3
Clementia,female,Clementia Cranmore,Clementia Litchmore,every 4 hours,lab born,0b1a74af-cc08-42f7-9cf3-6ad8c98ee37b,Maroon,37f6b24b-9586-4051-939d-96f76dfa407c
Joby,male,Joby Humbee,Joby Pactat,once a day,found,0bc99821-57fe-4cca-b7fb-1400d7e39425,Orange,95ea7fe3-5d9a-41b2-9cf2-4cd2a0cb0fa5
Arnoldo,female,,Arnoldo Kennan,every 4 hours,found,0be5b8a2-b5df-401f-a6f2-3a2bab1cd582,Orange,d2d27e64-9441-47f3-9a32-020ca40f4fdc
Doyle,female,Doyle Geratasch,Doyle Rogez,twice a day,stolen,0c15e070-adf4-43dc-bf25-9331f45a32c9,Mauv,b53a253d-9e98-4060-ae65-67345a045667
Prentiss,female,Prentiss Gumly,Prentiss Tym,twice a day,stolen,0cdf5bbc-b00a-4bad-9755-b5ac64aaa0a6,Maroon,798a1138-cdfa-42e6-b0bd-6323edb75540
Gale,male,Gale D'Oyly,Gale Kunisch,twice a day,lab grown,0da368a5-3d9c-44d0-a019-0b0a1721bb1d,Orange,79200fbf-fc24-432c-82f9-094f73d35527
Carmella,male,Carmella Gatherell,Carmella Ritchman,every 4 hours,found,0e153939-6deb-4764-b69a-cfdbabcd755e,Turquoise,d8a31ce3-cf3d-48f2-aa53-fd9954283abf
Ashlee,male,Ashlee Feldon,,,lab grown,0e2557ae-3427-4dcd-a9f8-87ea4bba1e99,Red,1efd2d60-a079-4a79-adae-3323bd14a00f
Cash,male,Cash Fitchew,,every 4 hours,found,0ec798d5-02cc-4a08-80b9-c26e01ab9e45,Mauv,ec2209fe-1f26-46be-8490-bef18e834510
Selena,male,,Selena Sommer,every 4 hours,,0f54bab7-322c-4aa1-8144-5a826cb52687,Crimson,f69bbd54-be40-467c-8305-bc426e7d1df4
Priscilla,female,,Priscilla Looks,,stolen,0f5bdb67-f499-45d3-9392-6ddd0a983bba,Turquoise,7a5bfa1b-7d07-4e3f-9961-c231b5fae043
Nickolaus,male,Nickolaus Guppey,,every 4 hours,found,10214472-ac34-45ed-aeeb-7434e24f14a4,Maroon,5e11826d-dd47-40d9-9a2c-785dd524934e
Tallie,male,Tallie Roantree,,twice a day,found,cb3a9da4-07b0-4969-9810-1505108d79d9,Goldenrod,0de720b5-318c-45c2-8e9b-45b15e6dff11
Sela,female,Sela Bradane,Sela O'Brogane,twice a day,lab born,11c29c23-f782-4c7d-898b-292dd23c26d1,Purple,e0d2ab58-2a7c-44d0-be21-562d7bb7e0e8
Sigfried,female,Sigfried Eddie,,once a day,found,11fa19f6-9daf-4f08-865e-b23661df843d,Red,60cd7525-3231-407f-b068-f43dbf043713
Avrit,male,Avrit Balaam,Avrit Railton,twice a day,lab grown,127da8ee-a074-406a-bd5d-4ac05987f762,Pink,37838f4e-2395-49ed-b37b-9094aad74c52
Richie,male,Richie Vasyagin,,once a day,stolen,12aab77e-ee13-4293-a648-faca44f99750,Turquoise,1f598144-38e4-4c13-beab-0977d75da2ad
Kiah,female,Kiah Kinze,Kiah Barnewelle,twice a day,lab grown,13be18f7-1fb9-4790-803c-d5429628a6ec,Violet,aa3d8f94-af47-4a5e-8a18-9541e834d6d2
Siana,female,Siana Esson,Siana Boyse,twice a day,found,13e2ad0e-e9f9-4274-b696-3c92c98b35f9,Green,3eed7de4-07d9-4d58-b47a-41866de3ddcf
Modesta,female,,Modesta Tiller,once a day,,14702dfd-3e18-4efa-bd9f-8af440e5fdec,Red,17520527-6ad7-44b4-9d45-fcd7297cd3f6
Alene,female,Alene Goldman,Alene Schwier,,stolen,149f03f7-f92f-4404-97d6-c47f34cd7826,Maroon,80566a6b-6e66-461b-8ef6-3757a0183963
Brendon,female,Brendon Chavey,Brendon Karim,every 4 hours,found,166f5faa-3854-4cbb-8060-084020da2ae6,Green,59b59007-87ef-47c3-8dc9-d2101bb158e9
Hilda,female,,,twice a day,stolen,16a5ae73-0430-4802-ae11-5476453819ac,Khaki,0070c8e5-7776-44d7-854a-6525e21dda6e
Denice,female,Denice Pettipher,,twice a day,lab grown,16a98733-74bc-4d0e-8d5a-c8caa0292d32,Mauv,f6975fd1-349c-4674-9470-0ae9946a03e2
Joete,male,Joete McKissack,Joete Greenhough,once a day,lab born,16cb8945-a107-406a-b840-b042d2a5a9db,Mauv,0fdbd109-14a5-47ba-a20e-a864ebead2d3
Laurence,female,Laurence Riccardi,Laurence O' Gara,once a day,stolen,17c930d7-cc4b-41fc-87ee-7ba102dc0d98,Green,5e1b9a5d-9496-4464-adfd-00559e3d9b07
Matelda,male,Matelda Ivell,,once a day,lab born,17cd0797-631f-440e-9583-e3d1821ba9f2,Mauv,edfe10eb-7747-4949-a7e0-f162e1bc9c08
Raymond,female,Raymond Martinelli,Raymond Lowey,once a day,stolen,1859b838-58d1-49b3-80f2-2e9a90e8eb93,Fuscia,02c0e276-ad1c-405e-83ab-7f11522d615e
Mada,female,,Mada Humes,every 4 hours,stolen,18ab34ac-982f-4126-88f2-650b6d120703,Goldenrod,e0209560-f349-4c13-acaa-f27590e85fc2
Halette,female,Halette Mattheeuw,Halette Privett,every 4 hours,lab born,19388cca-d46a-48ed-b5a4-5dadbc6b9f65,Pink,4731f474-ea05-4f5e-bc09-efeb0f965723
Letizia,female,Letizia Forbear,Letizia Benstead,every 4 hours,lab grown,1945e4b5-853c-4aa2-a9fe-733b79401c11,Violet,a16e6c91-cabc-4449-a681-966650399b5c
Briny,female,Briny Mil,,every 4 hours,lab born,194b819f-4f9e-40d9-9cad-ba7485a64e8c,Puce,0c8da585-2084-43a9-b2d4-fa9ade9ff5db
Sharline,female,Sharline Hubble,Sharline Doyland,twice a day,found,196e6236-3cf7-413f-af83-e87f2b533a54,Orange,e0796696-bf0a-4af5-a343-e1a12bb819cd
Priscilla,male,Priscilla Ballinger,,once a day,lab born,198f4f30-5d19-407b-9066-6d662ba1a314,Teal,42b96414-4cfa-4c17-af8c-0e7a461befd3
Reggie,female,Reggie Camel,Reggie Scotford,once a day,lab grown,19fb79c4-d97c-41db-bfa5-bb657fefc43b,Turquoise,74778c95-c8fe-4cfc-9d1d-85885cb7f48c
Ailina,female,Ailina Richold,Ailina Brumfield,twice a day,stolen,1a69a2d2-2704-42f4-9bd9-aa8672db3388,Aquamarine,11717c43-e45a-499c-b571-aecbb0cadfe2
Darleen,male,,,,lab grown,1ab62a64-5680-4c2a-8d2c-289119c2f10b,Maroon,255f94d7-859d-4eb5-a6fb-80b92c7e206b
Tomi,female,Tomi Bonwick,Tomi Scough,once a day,stolen,1ab6740e-9b97-4b1c-bb73-1c1f35864678,Khaki,bbd69fc4-d1f4-47ee-8854-d0ee8e53f054
Constantia,female,Constantia Chasier,,once a day,lab born,1b0f68e6-73cb-4748-ac9e-40f602608d72,Turquoise,1320b89f-ef3e-4540-b754-8df256ebb750
Crissy,female,Crissy Kupisz,Crissy Brane,once a day,lab grown,1b3edb18-f8d8-42bb-a0f9-133efb247523,Teal,718f6b63-5175-48ef-80fd-4d7fd65edc97
Carver,female,Carver MacCostigan,,every 4 hours,stolen,1c5941ec-bb81-41d0-ad2a-09c401a9901b,Pink,58dd48af-06c4-4d06-a80a-6afb33a31d91
Derril,male,,Derril Ballinger,every 4 hours,stolen,1c668499-5984-42d4-bebd-df541e5180df,Aquamarine,d176340b-a077-4cda-9a3b-11ac85cdaed6
Elly,male,Elly Newcome,Elly Ship,twice a day,stolen,1c895052-63d5-4198-9620-9bfd06b9d52b,Mauv,9d5ae224-750f-42b5-96dc-ba630abe451c
Thorndike,male,Thorndike Zoephel,Thorndike Dowley,twice a day,lab grown,1d36c8ab-41e3-4295-a522-ab1f07a6a53e,Red,05936641-e831-4e64-a4cc-2033a4083305
Sharyl,male,Sharyl Maymond,Sharyl Stent,once a day,stolen,1d732e0a-47e5-4fb6-ae53-99ddb6b75f5f,Red,435cde7c-ff6c-45d1-81d8-d0e03237b642
Brittan,male,Brittan Jagiello,Brittan Boykett,every 4 hours,stolen,1dc04a70-f67a-43fb-bb9b-22a98e66b0a0,Pink,bcc125e5-b980-4083-a819-9ca25ccaaab5
Elyn,male,,Elyn Pesek,once a day,lab born,1dda5d17-36d8-45e9-a226-b30b79525d9d,Orange,e337d1ae-bb06-4c5f-9c6e-0db563352938
Gerry,male,Gerry Village,Gerry Frentz,every 4 hours,lab grown,1e041464-4174-4bf5-8340-7a6f2b57e4f1,Mauv,aec081fb-b881-4df3-8106-74c73b7b90c2
Sukey,female,Sukey Welfair,,twice a day,found,1e15fc75-4e3d-43b7-9d8a-7333cbbee7a6,Purple,c23a388e-d815-4eb7-94e2-bdc7fe0099db
Reynold,male,,Reynold Gimbart,every 4 hours,stolen,1e3adf2f-072a-4059-a113-cb1f487f801c,Pink,d951b7ee-e143-461a-b2e0-10c38c22742e
Siana,male,Siana Pimlett,,,lab grown,1f2ea630-0e66-4a7b-8e8b-074cd7cc7ec8,Violet,3319e0b4-1f59-40c9-9433-6c2a66734599
Ravid,male,,Ravid Lightwing,,stolen,1f6e4a66-507e-4684-8e08-c755805f520f,Crimson,f8a33df9-9cb3-457a-8b1d-8058ed743b76
Kristian,female,Kristian Grigorushkin,Kristian Berthelmot,,,1f949693-6dac-47b1-9237-73f87b640b45,Orange,6050665a-ddbf-4a31-ac2a-0fffc3b6f070
Frieda,female,,,every 4 hours,stolen,1fe503ac-8441-47ec-bf22-2421722bbdf1,Teal,e1a2c7cb-8276-415f-ab60-81333272acdb
Roseann,male,Roseann Troppmann,Roseann Glanfield,twice a day,stolen,2036c866-faef-4432-8c17-ed9625b65a79,Green,f3157472-1606-4c37-99e7-c2669c6ace41
Keriann,male,Keriann Scandroot,Keriann Gaule,,stolen,208ff0f2-f3d6-467f-afc0-6a4bb07ba66e,Goldenrod,d19ced64-0d92-43c8-97b2-800a61eb847b
Rivkah,male,Rivkah Esmead,,twice a day,found,21238ccd-eb29-4a36-ad3a-f8d984f40912,Violet,a6a3b99c-391a-4f0f-ae87-329670f99ed1
Clyde,female,,Clyde Oiseau,,stolen,2174d408-19c2-4d63-b9f4-11f97ee60ec5,Puce,977515c1-ae3d-40b3-aced-eb0fdd42b152
Vernon,female,Vernon Howgill,Vernon Echallie,once a day,found,218491f4-0234-4614-a7f3-96b26ad72a43,Indigo,26ab2049-74f4-4e1f-b507-3ca33ecee2f4
Holt,male,,Holt McMillian,once a day,found,21cccaef-f2ee-4046-b1f2-9d7dada80c37,Blue,81033e49-c9b8-4578-aa91-892e2c041cb4
Dore,male,Dore Acome,Dore Gilks,,lab grown,225c317a-7e99-45f1-ad65-9240596aa9c8,Pink,562f91b3-61b0-4662-8fe8-5433eb4e8fb6
Dorene,male,Dorene Farnorth,Dorene Labell,twice a day,stolen,226f3b88-1764-44d3-9624-a7f1f2218bc7,Green,b6e429bb-f390-43d8-85b7-953fbf3cbbb2
Adlai,female,Adlai Gommes,,twice a day,found,22b38aa9-2a8a-4986-87d4-e1fdaf8dbb1c,Crimson,4033cbbb-52b5-4a2c-b346-79a815ceb9ea
Tedmund,female,,Tedmund Flew,twice a day,lab born,23094ad6-f18c-4092-b5cd-f7e5926e8f05,Puce,914512b0-aa20-4a96-8ca3-4ed5229198b9
Zaria,female,Zaria Land,,once a day,found,238d4767-7fba-456b-b584-22cbb8220d3c,Turquoise,83f4919b-38c7-4059-b0e2-ac4ca0e02b36
Alexei,male,Alexei Labrone,Alexei Leaf,once a day,lab born,2403cb6f-bd7e-4796-b7bd-d3ec2203fef8,Fuscia,8cf0560c-ca4a-437c-9b64-09bd8b2be13c
Agneta,male,Agneta Hale,,every 4 hours,stolen,2438914c-1d7b-43ab-b7bc-7e0228d4e00b,Orange,70ab8075-5ea9-4bb3-9b29-95d71cc45c84
Blakeley,male,Blakeley Elsom,Blakeley Riccardi,twice a day,stolen,257852f9-ed1f-4736-9a94-5979bcd842bf,Puce,3cc3ecfd-8fc9-4f23-84a3-573bcef950a2
Pavia,female,Pavia Quenell,Pavia Dreinan,,stolen,25b3d6a9-63fa-46ba-b213-05ca69b3891e,Crimson,9ffbce5d-9856-42c9-a537-7071fd23fe22
Eudora,male,,Eudora Merryman,once a day,found,263a7895-baa6-42fc-97a3-7608d7ee7136,Purple,4b9ff66e-e499-4422-bf75-baa6050a53a3
Ignace,female,Ignace Castilla,Ignace Fredy,once a day,stolen,269fa922-1f1d-4459-8002-8392829a762f,Khaki,a707bc85-75fd-4aca-b7f3-e34029351abf
Ariel,male,Ariel Nunes Nabarro,Ariel Brandino,twice a day,found,275f4799-7833-4c74-8cf5-161d9ddbd806,Mauv,8c1fce96-5f98-4002-b84a-b76bc972fd45
Ingrim,male,Ingrim Rotherforth,Ingrim Heathcott,,stolen,2791416a-1f28-4a09-ad0f-8ccd846925f9,Green,90055324-efea-40b5-8f2e-bd0d6bbf9a7f
Westbrook,male,Westbrook Bousfield,Westbrook Stern,once a day,lab born,283c4b85-b5c3-40cc-9b3e-a0ebae0d071b,Purple,f116f4f7-45d0-4f46-a3d1-2c50da16f88b
Peg,female,Peg Wallbridge,Peg Cranny,twice a day,found,28768b35-59bb-4bae-a23d-6df96962ce7e,Fuscia,ac85b8b9-b1c4-448f-8e7c-d72f11ea72bb
Simona,male,Simona Sainte Paul,Simona Dwelly,twice a day,stolen,2878cf70-bcb1-4f74-a16f-0e942f568507,Blue,a5465dda-f2f2-4ab2-a43c-d14635c53df2
Zilvia,female,Zilvia Stamps,,every 4 hours,found,28cd3736-e8bd-4845-b37a-530c32f8ec51,Aquamarine,5cba3c66-dc48-4e28-b6a2-7da1ae4ea3d4
Claire,male,Claire Boldra,Claire Cordeau],once a day,lab grown,28e6aa11-d6ce-4f80-be01-f838c28c59f2,Teal,5b2f41e1-704e-4790-bb77-bf43f3393929
Annalee,female,Annalee Mirrlees,Annalee Dent,every 4 hours,lab grown,2913d8ae-716a-45ec-ad00-bf03c3acce8a,Turquoise,47d8fc0c-44f0-4c74-a6f9-87af22024662
Orelle,female,Orelle Besantie,Orelle Eastam,every 4 hours,found,292c47fa-f756-43b2-831f-995c476a64f0,Goldenrod,8828772a-1a9b-4f6d-9ccd-d966876e79ae
Donni,female,Donni Willan,Donni Greser,twice a day,stolen,29bd81e3-6c10-4428-873f-db999cdcd6a6,Crimson,8253c8cd-1e33-48d8-8498-15f79fb86fc8
Lani,male,Lani Trevallion,Lani Gellion,,stolen,29e80798-bf20-433f-ac23-da45731f0a2a,Yellow,1194b217-1ced-4734-9569-af2c963576ab
Eddie,male,,Eddie Walework,every 4 hours,lab born,2a233a11-8689-49ea-8282-7aa0d2d69ebd,Blue,d7a0c8db-81e1-4123-8d04-936cab99eb66
Carrol,female,Carrol Blakeston,Carrol Boyles,,stolen,2a2c31c7-a540-4350-b39c-cacf4ea7fb3c,Turquoise,03e1f8e0-26c5-474a-82ef-297579ec2869
Opalina,female,,Opalina Robjant,twice a day,lab born,2a5fffb6-6201-438c-8726-c9ae8e394867,Puce,957d7f07-45c8-461c-9a7b-835eff2970f1
Lenna,male,Lenna Triggle,Lenna Gager,twice a day,lab born,2a6528a0-22f4-417d-89af-eb22bfd8305e,Turquoise,455876c2-c7b0-4c1b-81a9-010c49759749
Dion,female,Dion Emanuele,Dion Benedetti,every 4 hours,found,2a8146d6-d21c-4664-9a64-d5bb4f176754,Purple,f602d90a-a079-4c56-a787-22a8b1ec282c
Dore,male,Dore Flanne,,twice a day,stolen,2b1fea28-9fb8-49b3-8f42-29e561b73891,Purple,c2b15ca2-6e95-436e-96eb-a1599e38a25e
Clark,male,,Clark Grog,twice a day,found,2b40ca9d-28fe-4f08-bb9e-33ff19914025,Maroon,8def4b74-a9c4-42fa-a41e-5febef3f853b
Tillie,male,Tillie Petrillo,Tillie Cansdell,every 4 hours,lab grown,2b532530-385b-4c6a-9f4c-1563c36c2a63,Orange,b6eb1332-262e-4d56-bc0a-7ba3fe521e11
Klarrisa,female,Klarrisa Bachnic,Klarrisa Foystone,every 4 hours,found,2c673723-176c-4495-8c96-791582fdf59b,Yellow,7201dcf6-02c7-415f-8f72-bc7f961a2e1a
Malcolm,male,Malcolm Giannotti,Malcolm Rosenboim,,lab grown,2c808fb0-fcd9-434f-a4a5-e5a6357c26c8,Red,6c698e58-c681-4a6c-9ff2-4c44168df05b
Shaylyn,female,Shaylyn Lindeboom,Shaylyn Alentyev,,lab grown,2cddad17-ed53-48ee-b587-8d22d674057b,Mauv,f129e3ab-e3b3-4145-be26-78c7cbd3af64
Annalee,male,Annalee Grollmann,Annalee Wissby,,lab born,2d02fbe9-90c6-4601-aa71-bd978cd82512,Orange,a5ee7ba3-1548-4759-99f0-09fc0bf9c5b5
Kathryn,female,Kathryn Pegg,Kathryn Hendriksen,once a day,found,2d127afc-eebb-4376-baf4-66aa0475fea5,Purple,2b05664f-8bf4-4e2e-9417-d165d80ee925
Brucie,male,Brucie Jelk,Brucie Parfitt,once a day,lab grown,2e96dacc-61d3-4f1c-a657-855fac4779b4,Red,8b8791d3-6713-46b1-b848-5de111c2b576
Townie,male,,Townie Kipping,once a day,stolen,2ef6cff8-5726-4255-9ac4-54902508979f,Indigo,facd62fe-6456-490b-aa49-fe026c39a4b3
Patrice,male,Patrice Joao,Patrice Colliard,,stolen,2fa98302-4850-41ca-b09e-cf69657cae57,Turquoise,a70921b7-911b-4021-8928-c46094da5068
Thorny,female,Thorny Petracchi,Thorny Priestland,,lab grown,2ffefa40-fd66-4141-b0ab-dd928dc9a049,Turquoise,bf5eaeeb-e499-469f-a2c8-3a9a9e099ce0
Briny,female,Briny Baulk,,once a day,stolen,3037ca3d-01a5-4d1c-a063-2fe665e5796c,Red,9935ed8b-042a-4446-94b3-d182a566ae94
Aubrie,male,Aubrie Steffans,Aubrie Wallhead,twice a day,lab born,30cf31d4-c820-4534-b8b3-65a436d9c3a2,Aquamarine,087e3af2-2280-4134-abec-844c22eae5da
Lois,female,Lois Spiaggia,,twice a day,stolen,30e0442c-2946-4ff7-a0be-4ebe5d04baeb,Blue,61f54820-2246-4962-9ad0-6e17c60bdd8e
Valentino,male,Valentino Gillmor,Valentino Boake,once a day,stolen,3104937a-58ef-4bd8-8fd3-bb4eb1930004,Violet,c83e426b-42b6-422c-88e5-454752bd70eb
Geoffry,female,Geoffry Tear,,twice a day,stolen,3106128b-3b52-418f-9c95-a99a8a5622e5,Goldenrod,22d122e1-c990-47df-ad2b-87503120e9dd
Ediva,male,,Ediva Cheese,twice a day,stolen,31a53be1-2008-400f-bb5e-62106b023477,Indigo,c904213f-dbbf-4e19-9722-2100e302218c
Ray,female,Ray Lanney,Ray Pauncefoot,twice a day,lab grown,31deef59-5fbe-4261-bbb0-7799ad50e327,Crimson,9ffaefad-4b2a-4032-8799-9a7538491eb6
Murdock,male,Murdock Domerc,,twice a day,found,324ca260-9cb4-419d-a2b0-05e2906f82e9,Puce,376898a1-f556-4de9-905c-7de3e5c96feb
Chelsey,female,Chelsey Hubber,Chelsey Vauls,once a day,stolen,326f976d-7bcb-4f8f-b978-04fc9a297300,Green,f83903f1-43d6-46f3-b80a-ec4c3adc5c20
Becky,female,,Becky Peirone,twice a day,stolen,32fd21f3-689b-4bf6-bf55-09cc8b958b81,Violet,aad30abf-c991-41ef-ba02-e1c29bc67c72
Lazarus,male,Lazarus Petyankin,Lazarus McLugaish,once a day,lab born,335910ce-d8de-43fc-a134-fab9e27ba1c2,Mauv,9d9da302-69a3-47be-843f-fd2cda238e6d
Lucio,female,Lucio Ping,,once a day,found,338452b5-e458-4029-8099-ca53026c519a,Teal,e7f3952c-f795-4393-a5a3-a4716db792ae
Giuditta,male,Giuditta Posthill,Giuditta Wanley,every 4 hours,lab grown,33d2d360-6724-494e-8e47-7a54b7c7f108,Yellow,555d0a89-8132-43b3-ba15-0ea698415b50
Oliy,female,,Oliy Clemens,every 4 hours,lab born,343eb1c3-c322-4f4a-94ff-cf41d597cd6e,Maroon,47df48bd-042f-4367-b8aa-262006da5fdb
Alexi,female,,Alexi Wellen,once a day,stolen,344b5f99-7d23-421b-ab05-e4bdd9239e33,Yellow,70de0d40-e1b9-4023-a56b-46312b19010a
Thorny,male,Thorny Turpie,Thorny Brewins,twice a day,lab grown,35378ff5-7cf1-47c5-8efc-2ff7dfcb4264,Pink,051bdd48-feba-49dc-8b91-d9106b402cf8
Nestor,male,Nestor Fereday,Nestor Sendall,twice a day,lab grown,3584ff40-e1bf-4409-b8fc-f30a2a93549d,Crimson,f2aed803-c05c-4e1b-9530-c3c0b728393d
Derby,female,,,once a day,lab born,35d3ad8e-5f5f-491d-86c2-cee1e28ddfaa,Puce,8c0a2bfc-8c96-4d08-983b-00062f042050
Crissy,male,Crissy Cartman,Crissy Gobert,every 4 hours,found,35e347a7-c006-4602-8f49-e9c4be964481,Maroon,513571cc-d87d-4eaa-a7ba-47b8ecfb42c0
Aggi,male,,Aggi Peach,twice a day,lab born,36015927-6b39-45ca-8ff5-a7b13a99d4b5,Blue,b1beb022-2126-4464-a222-a0f76a2206c4
Rafaelita,male,,Rafaelita Rickaert,once a day,found,362523ba-f972-4d78-9086-398f7590ccc7,Red,be9a1064-64bf-4f73-b739-b904cb03ff93
Stace,male,Stace Gilmartin,,,lab born,cb3a9da4-07b0-4969-9810-1505108d79d9,Violet,9094256d-b381-4f6a-8c55-47d7ec7567e8
